Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,23,26.9293174743652,33.0157508850098,42.4,45.2371215820313,42.7,43.2220189082037,69.1,70.1534805297852,89.5,71.5,97.7,97.7,..,..
Afghanistan,AFG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,..,..,..,..,..,..,..,8.02072617359793,11.1930788250914,18.3846727932146,27.9542515209591,32.9043678269207,30.2188001325129,29.5728813319651,60.8491561955971,62.8756933574353,86.5005120344614,64.5733535573634,97.0993598483561,97.0919732851744,..,..
Afghanistan,AFG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,..,..,..,..,..,..,..,..,..,..,74,79.889274597168,81.6870498657227,89.9,85.3217163085938,82.8,86.5677791512155,95,92.7357330322266,98.7,92.5,99.5,99.5,..,..
Afghanistan,AFG,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.00501251220703,..,..,9.96100044250488,..,..,14.8933124542236,..,..
Afghanistan,AFG,"2005 PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP.05,..,..,..,..,..,..,..,..,..,..,16.70967,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"2005 PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP.05,..,..,..,..,..,..,..,..,..,..,15.13216,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.8,..,..,..,..
Afghanistan,AFG,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,39,..,..,40.4,..,..,32.8,34.8,..,..,..,..
Afghanistan,AFG,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,26,26.4,26.9,27.3,27.6,27.8,28,28.1,28.2,28.2,28.3,28.4,28.6,28.7,28.9,29,29,29,28.9,28.9,29,29.1,29.3,29.4,..
Afghanistan,AFG,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",SG.DMK.ALLD.FN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.6,..,..,..,..
Afghanistan,AFG,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",SG.DMK.SRCR.FN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Wholesale price index (2010 = 100),FP.WPI.TOTL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Wanted fertility rate (births per woman),SP.DYN.WFRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.4,..,..,..,..
Afghanistan,AFG,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,2.96799993515015,3.0699999332428,3.10700011253357,3.15899991989136,3.23000001907349,3.3199999332428,3.44400000572205,3.03800010681152,3.13899993896484,3.20499992370605,3.22000002861023,3.25999999046326,3.25200009346008,3.3289999961853,3.32800006866455,3.40499997138977,3.49300003051758,3.59899997711182,3.72399997711182,3.84400010108948,3.96300005912781,4.0770001411438,4.19399976730347,4.28200006484985,4.37099981307983
Afghanistan,AFG,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS,10.6319999694824,10.4820003509521,10.4029998779297,10.3620004653931,10.3339996337891,10.3059997558594,10.2690000534058,10.8450002670288,10.8870000839233,10.9829998016357,11.1829996109009,11.3120002746582,11.5190000534058,11.6429996490479,11.9020004272461,12.0690002441406,12.2569999694824,12.5380001068115,12.6520004272461,12.7969999313354,12.9259996414185,13.0299997329712,13.1590003967285,13.2919998168945,13.4370002746582
Afghanistan,AFG,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,8.10599994659424,8.04699993133545,8.01399993896484,8.00599956512451,8.01200008392334,8.02700042724609,8.03999996185303,8.29300022125244,8.34899997711182,8.42899990081787,8.55900001525879,8.66600036621094,8.81700038909912,8.92000007629395,9.10700035095215,9.24600028991699,9.38500022888184,9.58100032806396,9.66100025177002,9.75800037384033,9.8439998626709,9.91399955749512,10.0030002593994,10.1079998016357,10.2220001220703
Afghanistan,AFG,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,91.3940010070801,91.4860000610352,91.5149993896484,91.5179996490479,91.5060005187988,91.4850006103516,91.4630012512208,91.1860008239746,91.1700019836426,91.0900001525879,90.9529991149903,90.8470001220703,90.6910018920898,90.5920028686524,90.3959999084473,90.2630004882812,90.1220016479492,89.9189987182618,89.8419990539551,89.7439994812012,89.6550025939941,89.579999923706,89.4869995117187,89.3789978027343,89.2619991302491
Afghanistan,AFG,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,88.6749973297119,88.875,88.9489994049072,88.9849996566772,89.0069990158081,89.0269994735718,89.0550022125244,88.4360027313232,88.4509963989258,88.3560037612915,88.1439990997314,88.0179958343506,87.8059968948364,87.6869974136353,87.4159994125366,87.2590026855469,87.0660018920898,86.775001525879,86.664002418518,86.5139961242675,86.3780002593995,86.2670021057129,86.1310014724732,85.9930009841919,85.8430032730102
Afghanistan,AFG,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,96.9220027923584,96.8239994049072,96.7839984893799,96.7280006408692,96.6540012359619,96.5590000152588,96.4290008544922,96.8459987640381,96.7509975433349,96.6829967498779,96.6670017242432,96.6269989013672,96.6349964141846,96.5569972991943,96.5579986572266,96.4809989929199,96.3909969329834,96.2809982299805,96.1519985198975,96.0279979705811,95.9060020446778,95.7869968414307,95.6649990081787,95.5739974975586,95.4819984436035
Afghanistan,AFG,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,6.5,..,..,..,..,..,9.6,..,..,..,..,..
Afghanistan,AFG,"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,0,0,0,0,36650134.3,34791605.7,33558461.2,36303262.6,39679856.9,41470026,38165796.8,40171993.2,98770365.8,131081597.8,352752616.2,355229891.1,372555169.2,387633151.2,375643371.2,334840274.3,300161589.6,276984408.9,284853905.2,274596496.6,..
Afghanistan,AFG,Urban population,SP.URB.TOTL,3916248,4093835,4220821,4321584,4434762,4587798,4790053,5031157,5293385,5563504,5824291,6055019,6263747,6464835,6680732,6927764,7212518,7528588,7865067,8204877,8535606,8852859,9164841,9477100,..
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,6.30131899594049,4.43481309531408,3.05474753439547,2.35923428282883,2.58519485686092,3.3926220113501,4.31413056807719,4.91085014620737,5.08079502666875,4.97701977786956,4.58091497182537,3.88502395972086,3.38910534426723,3.15989215110001,3.28500725269717,3.63095436314569,4.02810214835549,4.28893801297526,4.37235475998294,4.2297678342528,3.95176219129098,3.64941022142383,3.46340748347353,3.35038297624495,..
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,21.624,21.714,21.805,21.895,21.986,22.078,22.169,22.261,22.353,22.5,22.703,22.907,23.113,23.32,23.528,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,..
Afghanistan,AFG,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,2.49449992179871,..,..,..,1.69190001487732,..,..,..,..,11.1836004257202,..,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.65300011634827,3.62100005149841,3.6029999256134,3.53600001335144,3.60599994659424,3.51699995994568,3.42600011825562,3.54999995231628,3.41899991035461,3.08699989318848,2.94199991226196,2.82500004768372,2.12800002098084,2.49399995803833,2.47000002861023,2.27500009536743,1.98399996757507,1.69200003147125,1.72500002384186,1.73500001430511,1.67900002002716,1.63399994373322,1.55900001525879,1.54200005531311,1.51900005340576
Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.4603996276855,..,..
Afghanistan,AFG,"Trained teachers in upper secondary education, female (% of female teachers)",SE.SEC.TCAQ.UP.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Trained teachers in upper secondary education, male (% of male teachers)",SE.SEC.TCAQ.UP.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,103.10920283776,116.36254161986,91.5855106689597,99.2229940825081,99.822209700771,81.3934554182836,100.069957848297,89.3648737730075,81.3244846219533,88.7796609855522,81.5868017044665,74.7439088952975,67.1959247512852,55.1255265979591,47.6590554256105,51.2368807956764,..,..
Afghanistan,AFG,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,19.9052686268623,20.4648166583937,19.864813791388,23.0723200441762,18.1118242081276,11.9061208887331,13.3469822142396,9.43515705106925,7.44880958757368,7.25422705220103,..,..
